,y_true,y_pred
0,1.0,0.5085931
1,1.0,0.50833386
2,1.0,0.50848985
3,1.0,0.50841254
4,1.0,0.50843835
5,1.0,0.5086288
6,1.0,0.50853026
7,1.0,0.5086565
8,1.0,0.5086452
9,1.0,0.50865865
10,1.0,0.5086975
11,1.0,0.5085597
12,1.0,0.5086057
13,1.0,0.5085246
14,1.0,0.5084359
15,1.0,0.50854117
16,1.0,0.50858104
17,1.0,0.50827247
18,1.0,0.5085746
19,1.0,0.5085876
20,1.0,0.5087647
21,1.0,0.5084292
22,1.0,0.5085125
23,1.0,0.50860494
24,1.0,0.50861126
25,1.0,0.50863564
26,1.0,0.5086539
27,1.0,0.50854665
28,1.0,0.50835437
29,1.0,0.5082828
30,1.0,0.50831175
31,1.0,0.50878316
32,1.0,0.5083942
33,1.0,0.5083643
34,1.0,0.50861424
35,1.0,0.50844806
36,1.0,0.5086521
37,1.0,0.508488
38,1.0,0.5084402
39,1.0,0.50841314
40,1.0,0.5085089
41,1.0,0.50822324
42,1.0,0.5086121
43,1.0,0.5087019
44,1.0,0.50851846
45,1.0,0.50889695
46,1.0,0.50843924
47,1.0,0.50837445
48,1.0,0.5085049
49,1.0,0.50858766
50,1.0,0.50841177
51,1.0,0.50833845
52,1.0,0.5083338
53,1.0,0.5085902
54,1.0,0.5085409
55,1.0,0.50855833
56,1.0,0.5083659
57,1.0,0.5085883
58,1.0,0.5086689
59,1.0,0.50836474
60,1.0,0.5086929
61,1.0,0.50856894
62,1.0,0.50865394
63,1.0,0.5085541
64,1.0,0.50847906
65,1.0,0.50855356
66,1.0,0.5086505
67,1.0,0.5085791
68,1.0,0.5082106
69,1.0,0.50858605
70,1.0,0.50846565
71,1.0,0.50858057
72,1.0,0.5086277
73,1.0,0.5086208
74,1.0,0.50840014
75,1.0,0.5085923
76,1.0,0.50828683
77,1.0,0.5085505
78,1.0,0.5085384
79,1.0,0.508576
80,1.0,0.5083423
81,1.0,0.50860363
82,1.0,0.50851226
83,1.0,0.5085282
84,1.0,0.50834966
85,1.0,0.5086623
86,1.0,0.50840217
87,1.0,0.50836563
88,1.0,0.50855005
89,1.0,0.50819296
90,1.0,0.50840485
91,1.0,0.50867325
92,1.0,0.5084193
93,1.0,0.5085871
94,1.0,0.50859714
95,1.0,0.50824535
96,1.0,0.5083513
97,1.0,0.5082934
98,1.0,0.5084481
99,1.0,0.50821453
100,1.0,0.50839895
101,1.0,0.50883555
102,1.0,0.5087399
103,1.0,0.50850564
104,1.0,0.5084323
105,1.0,0.5084534
106,1.0,0.50859267
107,1.0,0.50864136
108,1.0,0.5086573
109,1.0,0.5087331
110,1.0,0.5088219
111,1.0,0.5083597
112,1.0,0.50859344
113,1.0,0.5084525
114,1.0,0.50844043
115,1.0,0.5081528
116,1.0,0.50870526
117,1.0,0.5085801
118,1.0,0.508627
119,1.0,0.5084788
120,1.0,0.5084878
121,1.0,0.5086038
122,1.0,0.50826335
123,1.0,0.50864613
124,1.0,0.50838214
125,1.0,0.50820565
126,1.0,0.50837225
127,1.0,0.5084664
128,1.0,0.50850356
129,1.0,0.50822186
130,1.0,0.50832045
131,1.0,0.508788
132,1.0,0.5082816
133,1.0,0.50842613
134,1.0,0.5085945
135,1.0,0.50845444
136,1.0,0.5084817
137,1.0,0.5087146
138,1.0,0.50857955
139,1.0,0.5086187
140,1.0,0.5084847
141,1.0,0.50863826
142,1.0,0.50858974
143,1.0,0.5083487
144,1.0,0.5084798
145,1.0,0.5085203
146,1.0,0.5085159
147,1.0,0.5083091
148,1.0,0.5083763
149,1.0,0.50851285
150,1.0,0.5085799
151,1.0,0.5086096
152,1.0,0.5085718
153,1.0,0.50845945
154,1.0,0.50869036
155,1.0,0.50866216
156,1.0,0.5087107
157,1.0,0.5086318
158,1.0,0.50827354
159,1.0,0.5086822
160,1.0,0.50856405
161,1.0,0.50860614
162,1.0,0.5081525
163,1.0,0.50846267
164,1.0,0.508417
165,1.0,0.50829524
166,1.0,0.5086946
167,1.0,0.50865024
168,1.0,0.5085255
169,1.0,0.5086073
170,1.0,0.5088721
171,1.0,0.50835586
172,1.0,0.50862294
173,1.0,0.50852275
174,1.0,0.5085486
175,1.0,0.50861925
176,1.0,0.5086197
177,1.0,0.50839585
178,1.0,0.50840497
179,1.0,0.5086832
180,1.0,0.50849724
181,1.0,0.5085557
182,1.0,0.5086671
183,1.0,0.5087626
184,1.0,0.5083515
185,1.0,0.5085005
186,1.0,0.50876075
187,1.0,0.50847757
188,1.0,0.5084563
189,1.0,0.50835216
190,1.0,0.50858676
191,1.0,0.5086382
192,1.0,0.5083913
193,1.0,0.50867915
194,1.0,0.5086399
195,1.0,0.50860786
196,1.0,0.50857514
197,1.0,0.50856555
198,1.0,0.5084598
199,1.0,0.5081998
200,1.0,0.50849986
201,1.0,0.50851154
202,1.0,0.5083908
203,1.0,0.50860256
204,1.0,0.50839704
205,1.0,0.50823766
206,1.0,0.50840604
207,1.0,0.5084464
208,1.0,0.5083621
209,1.0,0.50847894
210,1.0,0.5086907
211,1.0,0.50839067
212,1.0,0.5087389
213,1.0,0.50861853
214,1.0,0.5085498
215,1.0,0.5083667
216,1.0,0.5086556
217,1.0,0.5085578
218,1.0,0.5083861
219,1.0,0.5083473
220,1.0,0.5084338
221,1.0,0.5085068
222,1.0,0.5085292
223,1.0,0.50859725
224,1.0,0.5084037
225,1.0,0.50840545
226,1.0,0.50837356
227,1.0,0.50844765
228,1.0,0.50841856
229,1.0,0.5085244
230,1.0,0.5084704
231,1.0,0.50854367
232,1.0,0.5083193
233,1.0,0.508364
234,1.0,0.50847113
235,1.0,0.5083938
236,1.0,0.5086275
237,1.0,0.5084773
238,1.0,0.50827986
239,1.0,0.5084473
240,1.0,0.5085943
241,1.0,0.5087134
242,1.0,0.50849515
243,1.0,0.5085142
244,1.0,0.508794
245,1.0,0.5085828
246,1.0,0.5086792
247,1.0,0.5086482
248,1.0,0.50848836
249,1.0,0.50835115
250,1.0,0.508425
251,1.0,0.5081925
252,1.0,0.5083123
253,1.0,0.5084742
254,1.0,0.5084739
255,1.0,0.508472
256,1.0,0.50854826
257,1.0,0.5085924
258,1.0,0.5083903
259,1.0,0.5085709
260,1.0,0.50855535
261,1.0,0.50860876
262,1.0,0.5084572
263,1.0,0.50854206
264,1.0,0.5085861
265,1.0,0.50868416
266,1.0,0.50817204
267,1.0,0.508177
268,1.0,0.5085332
269,1.0,0.50826615
270,1.0,0.50855124
271,1.0,0.50858945
272,1.0,0.5085754
273,1.0,0.5085148
274,1.0,0.508417
275,1.0,0.50849706
276,1.0,0.50877315
277,1.0,0.5085521
278,1.0,0.5087507
279,1.0,0.50821215
280,1.0,0.5084138
281,1.0,0.5083229
282,1.0,0.508324
283,1.0,0.5084758
284,1.0,0.50858456
285,1.0,0.50860065
286,1.0,0.5081756
287,1.0,0.50837064
288,1.0,0.5088047
289,1.0,0.5083749
290,1.0,0.50848365
291,1.0,0.5085366
292,1.0,0.50865006
293,1.0,0.5085506
294,1.0,0.5085763
295,1.0,0.50818807
296,1.0,0.508537
297,1.0,0.5085504
298,1.0,0.50872785
299,1.0,0.5086294
300,1.0,0.5085362
301,1.0,0.5085601
302,1.0,0.5085427
303,1.0,0.50862
304,1.0,0.50844836
305,1.0,0.50852764
306,1.0,0.50870955
307,1.0,0.5087596
308,1.0,0.508534
309,1.0,0.5086714
310,1.0,0.50856674
311,1.0,0.50839067
312,1.0,0.5086114
313,1.0,0.5084727
314,1.0,0.50847507
315,1.0,0.50857025
316,1.0,0.50838524
317,1.0,0.50836843
318,1.0,0.5087981
319,1.0,0.5082175
320,1.0,0.508642
321,1.0,0.5084596
322,1.0,0.50850195
323,1.0,0.50857013
324,1.0,0.5081262
325,1.0,0.5083597
326,1.0,0.50865084
327,1.0,0.50853866
328,1.0,0.50867873
329,1.0,0.50837874
330,1.0,0.5084755
331,1.0,0.5082067
332,1.0,0.5084178
333,1.0,0.5087132
334,1.0,0.50863004
335,1.0,0.5084708
336,1.0,0.50865835
337,1.0,0.5086189
338,1.0,0.508401
339,1.0,0.5087936
340,1.0,0.5081373
341,1.0,0.50869226
342,1.0,0.5088137
343,1.0,0.50870407
344,1.0,0.50847834
345,1.0,0.5084385
346,1.0,0.50847864
347,1.0,0.5085589
348,1.0,0.5084629
349,1.0,0.50856405
350,1.0,0.5083387
351,1.0,0.5086179
352,1.0,0.5084159
353,1.0,0.50817126
354,1.0,0.5086535
355,1.0,0.5083798
356,1.0,0.5085993
357,1.0,0.5086457
358,1.0,0.5084452
359,1.0,0.50867236
360,1.0,0.5085274
361,1.0,0.5083293
362,1.0,0.5086249
363,1.0,0.5085723
364,1.0,0.50850934
365,1.0,0.5085597
366,1.0,0.508566
367,1.0,0.5085046
368,1.0,0.5083657
369,1.0,0.5086424
370,1.0,0.5084282
371,1.0,0.5082946
372,1.0,0.50862473
373,1.0,0.5086536
374,1.0,0.5087647
375,1.0,0.5083858
376,1.0,0.5085164
377,1.0,0.5087289
378,1.0,0.5087854
379,1.0,0.508486
380,1.0,0.508534
381,1.0,0.5085142
382,1.0,0.50856495
383,1.0,0.5084952
384,1.0,0.50861716
385,1.0,0.5084998
386,1.0,0.508495
387,1.0,0.5083606
388,1.0,0.5086066
389,1.0,0.5083241
390,1.0,0.5083448
391,1.0,0.5086106
392,1.0,0.5084647
393,1.0,0.50861436
394,1.0,0.50866383
395,1.0,0.50863045
396,1.0,0.5084924
397,1.0,0.5084601
398,1.0,0.50860363
399,1.0,0.50828445
400,1.0,0.50822395
401,1.0,0.5085532
402,1.0,0.5083915
403,1.0,0.5086865
404,1.0,0.5083093
405,1.0,0.5086698
406,1.0,0.50850904
407,1.0,0.5086417
408,1.0,0.5086541
409,1.0,0.50863767
410,1.0,0.50862026
411,1.0,0.5085572
412,1.0,0.50816286
413,1.0,0.50859934
414,1.0,0.50852734
415,1.0,0.5085593
416,1.0,0.5083825
417,1.0,0.508714
418,1.0,0.50859255
419,1.0,0.50845283
420,1.0,0.50856674
421,1.0,0.5085367
422,1.0,0.5083966
423,1.0,0.5088842
424,1.0,0.5083929
425,1.0,0.5085066
426,1.0,0.5087455
427,1.0,0.50839305
428,1.0,0.50835824
429,1.0,0.5085901
430,1.0,0.508429
431,1.0,0.50845635
432,1.0,0.5086491
433,1.0,0.5086594
434,1.0,0.50865996
435,1.0,0.5084898
436,1.0,0.50859267
437,1.0,0.5082391
438,1.0,0.5086815
439,1.0,0.50839686
440,1.0,0.50867724
441,1.0,0.50836605
442,1.0,0.50855917
443,1.0,0.5085124
444,1.0,0.5085786
445,1.0,0.50819904
446,1.0,0.5085765
447,1.0,0.5085228
448,1.0,0.5083551
449,1.0,0.5084657
450,1.0,0.5085092
451,1.0,0.50850815
452,1.0,0.5085502
453,1.0,0.5085317
454,1.0,0.5083427
455,1.0,0.5082732
456,1.0,0.5085587
457,1.0,0.508583
458,1.0,0.50861144
459,1.0,0.5086809
460,1.0,0.5084551
461,1.0,0.50861895
462,1.0,0.5084396
463,1.0,0.5086778
464,1.0,0.50855225
465,1.0,0.5085626
466,1.0,0.5084848
467,1.0,0.5085851
468,1.0,0.5085832
469,1.0,0.5083918
470,1.0,0.5084646
471,1.0,0.5086063
