,y_true,y_pred_neg,y_pred_hyp,y_pred_hol,edge_i,edge_j
0,1,-2.7944968,3.5767527,0.11140363,84008,91017
1,1,-3.1092103,3.8397963,0.53679293,21024,20846
2,1,-3.183638,4.1125784,0.13920268,86657,90963
3,2,-0.71443295,-1.1355295,2.1377394,9162,9161
4,1,-2.9589891,3.7554874,0.31427133,71567,71556
5,1,-2.548179,3.2864037,0.16525142,37413,37406
6,1,1.8456527,-1.7878855,-0.93004656,84922,84921
7,1,-3.2141573,4.0590234,0.2688893,53463,52393
8,2,-1.7469927,1.0244833,1.3737146,29034,29617
9,1,-2.9470825,3.724328,0.21090057,55078,55808
10,1,-3.035675,3.8842103,0.19242544,73683,73659
11,1,-1.2555635,1.7596362,-0.1021916,45813,45811
12,1,-3.0106077,3.791812,0.19928685,23944,18935
13,1,-2.415869,2.949507,0.43974888,21459,21058
14,1,-2.7314959,3.5033758,0.18314843,21701,14497
15,1,-0.891063,-0.33862883,1.6291724,19303,15393
16,1,-2.75532,3.3604093,0.64362866,44889,44868
17,1,-1.311404,1.3718427,0.50846076,13715,13713
18,1,-2.331814,1.7111679,1.5581791,30572,29017
19,1,-3.0503538,3.826502,0.58373684,13857,13832
20,2,-0.82112646,-2.467863,3.7315164,48539,48538
21,1,-3.1533215,3.970799,0.28435063,74083,75927
22,1,0.16011393,0.2876387,-0.72489893,189,188
23,1,-2.1959367,2.7499497,0.2941831,60998,76557
24,1,0.51060313,-1.88497,0.8067753,44983,44966
25,2,2.3224528,-2.755671,-0.6286979,15124,15235
26,2,-2.5169396,2.7299507,0.9411441,42180,9983
27,1,-1.4105995,2.0427792,-0.33130032,89232,89230
28,2,-0.86838925,-1.7955763,3.1160166,48307,48302
29,1,-2.3375483,3.0232487,0.082694255,70191,72748
30,1,-2.408529,3.0929792,0.07289458,79733,79730
31,1,-2.7120903,3.4695382,0.15964532,17216,17513
32,1,-2.8313348,3.6070116,0.2885384,61760,58331
33,1,-3.4836895,4.4912505,0.22630708,88470,88537
34,1,-1.5799899,1.1077602,1.1666492,34801,34800
35,1,-2.1815112,2.2845774,0.76305825,22047,24775
36,1,-2.4077973,3.1389432,0.103821635,89277,91102
37,1,-2.5241792,3.2450101,0.14716695,70643,71556
38,1,-2.3554637,2.9836817,0.15407795,42327,42307
39,1,-2.569426,3.3158598,0.11824315,46017,45806
40,1,-2.1675425,2.8524683,0.008738705,86435,86433
41,2,-1.0728663,-1.5865546,3.0348504,64441,64277
42,1,-1.073002,1.7141483,-0.37941813,88149,79049
43,2,-1.2061347,-1.0609473,2.8273392,58451,58393
44,1,-2.3467684,2.8878658,0.4138776,14579,20233
45,1,-2.3493154,2.9720297,0.09475311,6631,6630
46,1,-3.0256913,3.749159,0.43360412,21853,23998
47,1,-2.500908,3.2294304,0.055061586,52220,51845
48,1,-2.3411815,2.953961,0.23510325,21052,16614
49,2,-0.99966496,-1.6992389,3.2031345,46221,48122
50,1,-2.7506044,3.59844,0.13962023,72079,72073
51,1,2.1431308,-2.1701095,-1.0441358,89130,89129
52,1,1.6861289,-1.5988122,-1.0326807,72936,72935
53,1,-3.200598,4.1112666,0.15043445,66024,58281
54,1,-2.0734897,2.097578,0.83925015,46499,46497
55,2,2.2605398,-3.6634858,0.0019204579,12830,12829
56,1,-2.497488,3.1953392,0.1841774,38638,38630
57,1,1.1645617,-0.87351257,-0.96923816,80978,91041
58,1,-3.0006003,3.675661,0.60401636,74020,73891
59,1,-3.6497757,4.723589,0.33988672,7299,13293
60,1,-2.2763615,2.9121802,0.15840888,52417,54778
61,1,-2.8024607,3.54295,0.35343796,21939,14383
62,2,-0.81895334,-1.6478128,2.8987374,8563,8562
63,1,-2.9394605,3.785499,0.12870881,40606,40581
64,1,-2.7868454,3.5249224,0.1648592,52098,55377
65,1,-3.249875,3.9415188,0.55425704,17262,17451
66,1,-2.477916,3.0330398,0.45034337,19462,19449
67,1,-2.167326,1.7602879,1.3876135,44060,44053
68,1,-3.1564157,4.0307817,0.29016665,42849,42840
69,1,-2.0302286,2.6472032,0.06878448,41060,41063
70,1,-3.235632,4.176026,0.16804375,86606,91155
71,1,-2.797306,3.6091049,0.12113347,247,235
