,y_true,y_pred_neg,y_pred_hyp,y_pred_hol
0,1,-5.705273,5.7688694,0.26664278
1,1,-5.194692,4.866637,0.5878937
2,1,-4.71254,5.34986,-0.2820282
3,2,1.8704692,-3.473036,3.1463208
4,1,-5.6679316,5.6651196,0.30288234
5,1,-3.562163,4.048004,-0.6054685
6,1,-0.23293772,1.454613,-1.8002863
7,1,-4.448615,4.9466014,-0.2255804
8,2,-1.130727,-1.2798905,4.2688675
9,1,-3.510636,4.26477,-0.6262587
10,1,-4.4254594,4.8400965,-0.14405671
11,1,-3.122952,3.859192,-0.6560398
12,1,-5.1229606,5.6085143,-0.040133838
13,1,-4.6578236,4.9715962,0.020736217
14,1,-4.288758,4.62681,-0.22119974
15,1,-2.9844453,2.7551186,0.49959445
16,1,-5.634631,5.935046,0.09231138
17,1,2.1981945,-1.4570832,-1.6466211
18,1,-3.205085,3.3185534,-0.26968428
19,1,-3.7503283,4.112063,-0.26604053
20,2,-2.3583646,-1.4084218,7.384629
21,1,-5.5317373,5.997661,0.027544625
22,1,2.1846147,-1.3075614,-1.6811972
23,1,-4.090838,4.426128,-0.16152172
24,1,-0.19966939,-1.0237081,2.031301
25,2,-1.529176,2.2313397,-0.9834107
26,2,1.9296293,-1.6589677,-0.67505956
27,1,-0.75853413,1.9114676,-1.526631
28,2,-2.0070226,-0.67830527,5.0749564
29,1,-3.3569822,4.295974,-0.8508123
30,1,0.07894429,1.2050898,-1.986224
31,1,-4.8790965,5.12932,-0.056626193
32,1,-5.199866,5.383176,0.14674832
33,1,-4.813078,5.24218,-0.11869997
34,1,1.0467539,-2.037601,1.3177189
35,1,-3.5341694,2.7024522,1.2874583
36,1,-4.1385546,4.583087,-0.3142597
37,1,-5.137121,5.256492,0.07200706
38,1,-5.140186,5.5060344,-0.06987803
39,1,-3.5943737,3.9444067,-0.34935874
40,1,-5.436332,5.6196394,0.08667259
41,2,-2.64843,-0.8402345,6.52867
42,1,-1.8865696,2.9554434,-1.168112
43,2,-1.7247716,-0.6895145,4.4235
44,1,-4.6705236,5.1803784,-0.20023954
45,1,-3.5235627,4.2828712,-0.6924147
46,1,-4.360536,4.439873,0.06576574
47,1,-3.5322638,3.9950888,-0.49426264
48,1,-4.939005,5.502909,-0.30121228
49,2,-3.072986,-0.26776183,6.1752605
50,1,-3.8778944,4.2629614,-0.48895243
51,1,2.2174397,-1.5121322,-1.5156722
52,1,0.8609696,0.04877761,-1.9734418
53,1,-5.2771754,5.7913938,-0.035947613
54,1,-3.7158756,4.0476885,-0.1602933
55,2,3.096001,-3.1466365,-0.07877679
56,1,-4.281742,4.7694182,-0.30691922
57,1,-3.253298,3.9840348,-0.85526323
58,1,-5.114008,5.4043,0.14070076
59,1,-4.7544794,5.0868626,-0.10607958
60,1,0.6072593,0.07953584,-1.2182851
61,1,-3.939131,4.5879083,-0.58561945
62,2,0.7732092,-2.8451824,4.1332064
63,1,-5.0868096,5.30529,0.002229344
64,1,-3.89895,4.502845,-0.46678787
65,1,-4.328568,4.665279,-0.13185027
66,1,-1.8027934,2.1351473,-0.3785686
67,1,-4.900946,2.9955578,2.8137717
68,1,-5.057043,5.079623,0.16381322
69,1,-2.3776462,3.320823,-1.0596298
70,1,-3.3733096,3.9710367,-0.6369238
71,1,-3.8164666,4.199389,-0.441801
72,1,-5.441967,5.156073,0.5589168
73,1,-2.1132488,2.8623703,-1.2759495
74,2,0.9990389,-2.5924592,2.9832237
75,1,-4.662238,3.0228195,2.3638752
76,1,-5.4889984,5.8287816,0.1237071
77,1,-1.2364109,2.0913055,-1.439786
78,1,-0.61489093,1.1309059,-1.0458107
79,2,-0.859416,-1.4700773,4.4606376
80,1,-3.9725904,4.4946723,-0.44117635
81,1,-1.3135884,2.0862007,-1.3684702
82,2,-2.6438615,-0.7140928,6.401566
83,1,-4.0581923,4.3226013,-0.36257955
84,1,0.26711076,0.5334977,-1.1606159
85,1,-4.997953,5.451852,-0.10607271
86,2,-3.1652498,-0.40659663,6.020393
87,1,1.4217476,-0.4892666,-1.5576239
88,1,-3.3954246,3.958264,-0.37958333
89,1,-5.235573,5.3923793,0.18209563
90,1,-3.7805338,4.407513,-0.4798269
91,1,-2.0118122,1.5237951,0.8550034
92,1,-2.397706,2.737414,-0.666164
93,1,-5.029056,5.5014224,-0.07217259
94,1,-4.0571117,4.6435556,-0.5170064
95,1,-5.2118263,4.9365325,0.47185373
96,1,-4.9656177,5.170869,0.012457084
97,1,-4.5022793,4.753243,-0.10498358
98,2,-5.0304513,4.851804,0.25108144
99,1,-4.5764155,4.4808292,0.20618445
100,1,-4.3732514,4.774207,-0.2613703
101,1,-3.555138,4.082735,-0.55063426
102,1,-2.5867887,2.9598958,-0.49722034
103,1,-0.114852265,1.1172869,-1.6473585
104,2,-1.3581916,-1.0714359,4.8200545
105,1,-4.4486365,4.7292867,-0.169567
106,1,-4.696548,5.1541266,-0.19545707
107,2,-3.4883835,0.23741704,5.50196
108,1,-4.1193733,4.3608484,-0.19609469
109,1,-4.2763166,3.8585308,0.5955743
110,1,-3.1346488,3.8062346,-0.82146513
111,1,-2.4817626,3.5473924,-1.1970515
112,1,-3.931203,4.3122506,-0.40522626
113,1,-4.9134836,4.754714,0.34448832
114,1,-2.6206446,3.4394054,-1.0316892
115,1,-4.441701,4.9473953,-0.40288794
116,2,-2.4974227,-1.0383916,6.825309
117,1,-3.2208958,3.7725322,-0.7768051
118,1,-5.414521,5.793108,0.06360905
119,1,-4.2539268,5.148879,-0.6540661
120,1,-4.361801,4.5477085,-0.10623914
121,2,-1.4182004,-0.4414907,3.2471638
122,1,-3.394199,3.8452315,-0.42793274
123,1,-3.1460056,3.9918234,-0.8621547
124,2,-2.1422422,-0.7035843,5.4144015
125,1,-4.4851,4.760283,-0.16024749
126,2,-2.7953942,-0.6269741,6.4535923
127,2,-2.5443516,-0.8808515,6.538212
128,1,-4.04259,4.528936,-0.3006688
129,1,-3.9107943,4.26933,-0.28502735
130,2,-2.4222639,0.47800803,3.2818387
131,1,-1.0236639,1.9001002,-1.6072327
132,2,-2.2708044,-0.4427192,5.050327
133,1,-5.1928334,5.6808524,-0.04987424
134,2,-2.7929966,-0.5816131,6.360798
135,1,1.29633,-1.6452789,0.36153203
136,1,-3.1481838,3.5088153,-0.52353424
137,1,-2.3699243,2.767964,-0.89325887
138,1,-4.334904,4.761027,-0.28372347
139,1,-4.885715,4.973713,0.20193145
140,1,-4.5553527,5.0751824,-0.24324724
141,1,-1.3971821,1.8655591,-0.81776595
142,1,1.5248824,-0.47381634,-1.9255031
143,2,3.5457883,-4.1654205,1.7526613
144,1,-3.6029236,4.002899,-0.5632976
145,2,-2.8694615,-0.6309664,6.5561748
146,1,-4.4164076,4.7039814,-0.23107931
147,1,-0.2848879,1.1763606,-1.4108119
148,2,0.30445352,-1.629914,2.1273584
149,1,0.60595906,-0.26469266,-1.3862048
150,1,-4.6489553,5.140441,-0.13335824
151,1,-4.855504,5.362862,-0.21170315
152,1,-5.1915364,5.479874,0.0043233167
