,y_true,y_pred
0,1.0,0.99999857
1,1.0,0.01630878
2,1.0,1.0
3,1.0,0.003828686
4,1.0,1.0
5,1.0,8.503895e-07
6,1.0,1.0
7,1.0,0.9999987
8,1.0,0.99906284
9,1.0,8.574759e-11
10,1.0,0.0014079015
11,1.0,0.9997613
12,1.0,1.0
13,1.0,0.18033968
14,1.0,5.642231e-07
15,1.0,0.9981559
16,1.0,0.022678332
17,1.0,1.0
18,1.0,0.9985525
19,1.0,0.061847113
20,1.0,0.04552873
21,1.0,1.0
22,1.0,0.9999609
23,1.0,0.001133216
24,1.0,0.00047235235
25,1.0,0.023833537
26,1.0,0.99999785
27,1.0,1.0
28,1.0,1.0
29,1.0,0.9999964
30,1.0,0.015727386
31,1.0,0.5608375
32,1.0,0.98906904
33,1.0,0.5349621
34,1.0,0.95250773
35,1.0,2.007324e-05
36,1.0,0.99894315
37,1.0,1.5366498e-13
38,1.0,1.1701124e-05
39,1.0,1.0
40,1.0,0.9999995
41,1.0,4.1063755e-05
42,1.0,0.9545366
43,1.0,0.00056931446
44,1.0,7.538409e-09
45,1.0,1.0
46,1.0,6.485446e-05
47,1.0,0.05710384
48,1.0,0.1628913
49,1.0,1.0
50,1.0,0.9994473
51,1.0,2.7177235e-10
52,1.0,0.16623445
53,1.0,9.018612e-09
54,1.0,0.9991685
55,1.0,1.0
56,1.0,0.99721116
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0876656e-23
60,1.0,0.9556656
61,1.0,1.0
62,1.0,1.0
63,1.0,1.4331147e-05
64,1.0,8.387055e-16
65,1.0,1.0
66,1.0,0.99989665
67,1.0,3.5142296e-08
68,1.0,1.0
69,1.0,1.0
70,1.0,0.56031394
71,1.0,0.48635232
72,1.0,0.9999925
73,1.0,0.9984232
74,1.0,0.04423008
75,1.0,0.3363912
76,1.0,0.99999964
77,1.0,0.08421783
78,1.0,0.99988675
79,1.0,0.00015520997
80,1.0,1.0
81,1.0,0.0002761721
82,1.0,0.9999989
83,1.0,1.0
84,1.0,0.845356
85,1.0,0.0013307343
86,1.0,1.1096076e-06
87,1.0,0.9999969
88,1.0,0.9431238
89,1.0,0.9789482
90,1.0,0.0018119342
91,1.0,1.6109059e-12
92,1.0,0.36694846
93,1.0,0.00047803062
94,1.0,0.026764562
95,1.0,0.99999905
96,1.0,0.83702284
97,1.0,0.024877673
98,1.0,1.625532e-07
99,1.0,1.0
100,1.0,1.0
101,1.0,5.681156e-05
102,1.0,0.99999905
103,1.0,0.3279512
104,1.0,1.0
105,1.0,0.8751997
106,1.0,1.0
107,1.0,0.9999924
108,1.0,2.0301304e-06
109,1.0,9.604125e-13
110,1.0,1.0
111,1.0,0.999331
112,1.0,1.0
113,1.0,0.85510826
114,1.0,2.7237752e-07
115,1.0,0.99871826
116,1.0,1.7005533e-20
117,1.0,1.45677e-05
118,1.0,0.999979
119,1.0,0.9557158
120,1.0,1.5899488e-05
121,1.0,0.00087035866
122,1.0,1.0
123,1.0,1.0
124,1.0,0.9999554
125,1.0,0.9999976
126,1.0,0.8454435
127,1.0,0.99999833
128,1.0,0.0031857057
129,1.0,0.6692131
130,1.0,0.9999989
131,1.0,0.29151756
132,1.0,0.999998
133,1.0,0.09975449
134,1.0,0.9957562
135,1.0,0.9999747
136,1.0,1.0
137,1.0,1.0
138,1.0,0.9999486
139,1.0,0.99998426
140,1.0,1.0
141,1.0,0.75441337
142,1.0,0.00042930277
143,1.0,1.6417362e-05
144,1.0,0.00025255536
145,1.0,0.83766204
146,1.0,0.9999999
147,1.0,1.0
148,1.0,0.99996936
149,1.0,0.00055969437
150,1.0,0.9999999
151,1.0,0.22554275
152,1.0,1.0
153,1.0,1.0
154,1.0,1.0
155,1.0,3.3579046e-05
156,1.0,0.9949721
157,1.0,1.0
158,1.0,0.007211272
159,1.0,0.034551628
160,1.0,0.46743196
161,1.0,0.40917587
162,1.0,0.72563094
163,1.0,1.0
164,1.0,0.99816376
165,1.0,1.0
166,1.0,0.9990245
167,1.0,1.0
168,1.0,1.0
169,1.0,0.06632634
170,1.0,1.0
171,1.0,0.16474843
172,1.0,0.38136026
173,1.0,0.00016866546
174,1.0,1.0
175,1.0,0.0056300303
176,1.0,0.55838376
177,1.0,1.3847378e-05
178,1.0,1.0
179,1.0,0.9886203
180,1.0,0.99911803
181,1.0,0.99842286
182,1.0,0.9963284
183,1.0,1.0
184,1.0,0.54243463
185,1.0,0.9598817
186,1.0,0.810768
187,1.0,1.0
188,1.0,1.0
189,1.0,0.0035609568
190,1.0,7.115364e-13
191,1.0,0.999992
192,1.0,1.0
193,1.0,1.0
194,1.0,0.004841482
195,1.0,5.47261e-05
196,1.0,6.1234365e-05
197,1.0,0.78345215
198,1.0,1.0
199,1.0,0.97748375
200,1.0,0.9997825
201,1.0,0.9984168
202,1.0,7.1196195e-19
203,1.0,0.9751695
204,1.0,0.0033415232
205,1.0,1.5456367e-08
206,1.0,0.02847626
207,1.0,0.99734205
208,1.0,1.0
209,1.0,4.347946e-07
210,1.0,0.99996567
211,1.0,0.00457761
212,1.0,1.0
213,1.0,1.0
214,1.0,0.9999839
215,1.0,0.99999964
216,1.0,0.13859938
217,1.0,1.0
218,1.0,0.99821556
219,1.0,1.0
220,1.0,0.0007148317
221,1.0,1.0
222,1.0,0.9981791
223,1.0,0.0003129871
224,1.0,0.992343
