,y_true,y_pred
0,1.0,0.675486
1,1.0,0.49884787
2,1.0,0.562068
3,1.0,0.479606
4,1.0,0.4653365
5,1.0,0.76866883
6,1.0,0.45532888
7,1.0,0.47739482
8,1.0,0.8157482
9,1.0,0.48203942
10,1.0,0.4977607
11,1.0,0.56143963
12,1.0,0.49760157
13,1.0,0.5938885
14,1.0,0.62253803
15,1.0,0.6104109
16,1.0,0.69283485
17,1.0,0.5555278
18,1.0,0.47759703
19,1.0,0.45747662
20,1.0,0.5727799
21,1.0,0.4638368
22,1.0,0.4271601
23,1.0,0.43191344
24,1.0,0.5108777
25,1.0,0.4536635
26,1.0,0.42555884
27,1.0,0.6277434
28,1.0,0.5248684
29,1.0,0.49147376
30,1.0,0.47899243
31,1.0,0.45648432
32,1.0,0.46392816
33,1.0,0.4811536
34,1.0,0.4558673
35,1.0,0.46402466
36,1.0,0.5548589
37,1.0,0.50003976
38,1.0,0.5307668
39,1.0,0.61605287
40,1.0,0.48650566
41,1.0,0.63205254
42,1.0,0.4362668
43,1.0,0.5594393
44,1.0,0.46015462
45,1.0,0.45329136
46,1.0,0.50128037
47,1.0,0.85016304
48,1.0,0.6237866
49,1.0,0.5260517
50,1.0,0.64987576
51,1.0,0.4968867
52,1.0,0.46193016
53,1.0,0.5108202
54,1.0,0.46964502
55,1.0,0.4720349
56,1.0,0.72354835
57,1.0,0.46510482
58,1.0,0.48905933
59,1.0,0.47788322
60,1.0,0.51677877
61,1.0,0.51124537
62,1.0,0.4785007
63,1.0,0.52337694
64,1.0,0.48224136
65,1.0,0.5324837
66,1.0,0.8307577
67,1.0,0.5052267
68,1.0,0.47934464
69,1.0,0.45719767
70,1.0,0.47283855
71,1.0,0.4988881
72,1.0,0.5352252
73,1.0,0.50755477
74,1.0,0.5244096
75,1.0,0.51806486
76,1.0,0.61735
77,1.0,0.72480834
78,1.0,0.66424006
79,1.0,0.4694271
80,1.0,0.61558473
81,1.0,0.74043924
82,1.0,0.50071555
83,1.0,0.5868547
84,1.0,0.7720369
85,1.0,0.6019862
86,1.0,0.66476905
87,1.0,0.7542907
88,1.0,0.8415786
89,1.0,0.6604184
90,1.0,0.49449563
91,1.0,0.51091844
92,1.0,0.88964117
93,1.0,0.4573187
94,1.0,0.6727824
95,1.0,0.5132694
96,1.0,0.48523968
97,1.0,0.5401317
98,1.0,0.55514914
99,1.0,0.6733684
100,1.0,0.69610876
101,1.0,0.53480583
102,1.0,0.66536397
103,1.0,0.92352325
104,1.0,0.50428015
105,1.0,0.50732726
106,1.0,0.8968602
107,1.0,0.46789318
108,1.0,0.64976585
109,1.0,0.59545976
110,1.0,0.5157878
111,1.0,0.45757645
112,1.0,0.483039
113,1.0,0.567615
114,1.0,0.55986655
115,1.0,0.6556753
116,1.0,0.49205115
117,1.0,0.5059743
118,1.0,0.43216723
119,1.0,0.6028693
120,1.0,0.44763225
121,1.0,0.4912449
122,1.0,0.4816153
123,1.0,0.5155131
124,1.0,0.52452666
125,1.0,0.5292009
126,1.0,0.5213528
127,1.0,0.51875246
128,1.0,0.66434014
129,1.0,0.76512915
130,1.0,0.84452266
131,1.0,0.50702107
132,1.0,0.569845
133,1.0,0.52444184
134,1.0,0.4808429
135,1.0,0.5031996
136,1.0,0.4176586
137,1.0,0.6455784
138,1.0,0.7773279
139,1.0,0.5326499
140,1.0,0.55975705
141,1.0,0.4233192
142,1.0,0.6682968
143,1.0,0.5037901
144,1.0,0.5477607
145,1.0,0.4925748
146,1.0,0.45440504
147,1.0,0.500338
148,1.0,0.45740104
149,1.0,0.6811035
150,1.0,0.49212193
151,1.0,0.472395
152,1.0,0.5480639
153,1.0,0.49835616
154,1.0,0.5041332
155,1.0,0.46331787
156,1.0,0.42665824
