,y_true,y_pred_neg,y_pred_hyp,y_pred_hol
0,1,-2.8502147,2.5866094,-0.9306027
1,1,-3.1425276,2.273257,-0.41343796
2,1,-3.0718277,2.8200512,-0.97007704
3,2,-0.45813757,-1.363406,2.1367142
4,1,-3.249466,2.868023,-0.86158806
5,1,-2.768453,2.1885896,-0.73068655
6,1,1.9165384,-0.9998413,-0.7517776
7,1,-3.2400348,2.821775,-0.8736394
8,2,-2.793959,1.0439516,0.45373482
9,1,-3.0527809,2.753866,-0.9417992
10,1,-3.0383513,2.656715,-0.79313916
11,1,-2.6382375,2.130646,-0.713718
12,1,-3.0911999,2.5342085,-0.683521
13,1,-2.9043221,2.1624422,-0.50495553
14,1,-3.3680708,2.9070518,-0.8203925
15,1,-2.1871645,0.18565644,1.051183
16,1,-3.5068324,2.6673965,-0.4593021
17,1,-1.7107835,0.2593753,0.4618914
18,1,-3.0895975,1.0251265,1.0310783
19,1,-4.0667286,3.281554,-0.5242399
20,2,-1.6433718,-2.0873983,4.651893
21,1,-3.3805683,2.8938737,-0.7459021
22,1,0.26843196,-0.40887314,-0.45026857
23,1,-2.7923012,2.0862706,-0.5307569
24,1,-0.84923756,-0.9165854,1.503508
25,2,2.0760922,-1.4940612,-0.24871993
26,2,-2.5363278,1.2725909,0.07119722
27,1,-1.8165351,1.7212222,-1.007094
28,2,-1.8366327,-1.456309,3.3375077
29,1,-2.2777886,2.0328176,-0.93558884
30,1,0.5608502,-0.0747086,-0.87965035
31,1,-2.7442589,2.345527,-0.7913147
32,1,-3.4767647,2.883881,-0.6906182
33,1,-3.923355,3.721063,-0.99079
34,1,-2.5498126,1.3222066,-0.12984294
35,1,-2.8618486,1.8835623,-0.2457752
36,1,-3.2489433,2.9696,-0.9144916
37,1,-2.9399905,2.6381361,-0.94687176
38,1,-3.3014822,2.5047042,-0.49559543
39,1,-2.25367,1.8725573,-0.81596714
40,1,-2.0973806,1.8715192,-0.98410165
41,2,-1.4355257,-1.4155432,3.1832533
42,1,0.04574374,0.3853611,-1.0835459
43,2,-1.128794,-1.0354774,2.123416
44,1,-2.9888709,2.03063,-0.37609297
45,1,-2.9139106,2.460461,-0.799662
46,1,-3.8943455,3.1894193,-0.5480119
47,1,-2.3197224,2.0200317,-0.87075555
48,1,-2.8530629,2.264619,-0.68789357
49,2,-1.5222675,-1.3648502,2.929844
50,1,-3.0204332,2.658459,-0.83835685
51,1,2.5269291,-1.484528,-0.5150015
52,1,0.9687321,-0.3384126,-0.957498
53,1,-3.156736,2.9341464,-1.0046235
54,1,-3.1887975,1.9406,-0.13288431
55,2,2.1865315,-2.2363741,1.3646232
56,1,-2.2862093,1.9069939,-0.6977486
57,1,1.3513459,-0.6260346,-0.8518
58,1,-3.2982485,2.310203,-0.3651857
59,1,-3.8185747,3.3325806,-0.8004428
60,1,-2.015696,1.6905096,-0.8611331
61,1,-2.9648147,2.4134023,-0.6616303
62,2,-2.0699174,-0.76202005,2.5067465
63,1,-3.2501097,2.9050086,-0.9590294
64,1,-2.8807411,2.4393919,-0.74055713
65,1,-3.5751593,2.7085824,-0.46922404
66,1,-3.0184705,2.0078812,-0.31219622
67,1,-2.9999115,1.0131207,0.73610824
68,1,-3.7377756,3.2377388,-0.7740599
69,1,-1.9911665,1.6871231,-0.9006196
70,1,-3.2024581,2.9187438,-0.97250617
71,1,-2.7301807,2.475786,-0.89885914
72,1,-4.1423664,3.4397457,-0.63560194
73,1,-2.1765501,1.9576448,-1.0216651
74,2,0.026999481,-1.5406545,1.8784494
75,1,-4.3868933,3.500387,-0.4447553
76,1,-3.481944,2.883503,-0.6710637
77,1,-3.5095124,3.0473483,-0.74639493
78,1,-2.0024621,1.6404538,-0.7618386
79,2,-0.0074611306,-1.7721685,2.3618076
80,1,-2.022442,1.6710118,-0.8774491
81,1,-2.8010278,2.3382545,-0.8038536
82,2,-2.4397383,-1.1756903,3.6251912
83,1,-3.2831128,2.5994368,-0.7145795
84,1,1.501166,-0.70723605,-0.8143414
85,1,-3.3430364,2.8606522,-0.78965443
86,2,-0.30855215,-1.6743294,2.7286685
87,1,-1.3287952,1.3016167,-0.97090364
88,1,-2.9954252,2.4067597,-0.6341975
89,1,-3.5982304,2.7475564,-0.51196754
90,1,-2.4377384,2.2381415,-1.0432397
91,1,-2.4832447,1.626361,-0.44870922
92,1,-3.1224868,1.629911,0.13008484
93,1,-2.581487,2.149995,-0.7726446
94,1,-2.4730327,2.069258,-0.7723949
95,1,-3.847212,2.6015346,-0.2266534
96,1,-3.4130712,3.1232038,-0.959918
97,1,-1.2585086,1.1359128,-0.9534892
98,2,0.3594944,-0.37162444,-0.29233715
99,1,-3.6227276,2.6318662,-0.3490983
100,1,-2.544592,2.4154596,-0.9671616
101,1,-2.6337357,2.4159253,-0.91180223
102,1,-2.399038,2.0548356,-0.832582
103,1,3.1423492,-1.8073298,-0.39926946
104,2,-0.8562806,-1.2256571,2.2855372
