,y_true,y_pred_neg,y_pred_hyp,y_pred_hol
0,1,-0.9016994,3.3442338,-3.2817948
1,1,-1.8655503,2.029982,-0.49922052
2,1,-0.48431852,5.794022,-7.073224
3,2,1.6756426,-6.9491024,3.3067205
4,1,-2.6980982,3.1482654,-0.9570229
5,1,-1.9817606,3.1669366,-1.8026061
6,1,0.2038266,3.8638608,-5.324135
7,1,-2.6219668,2.939352,-0.82438165
8,2,-3.2062068,1.9012344,0.90344465
9,1,-1.9925151,2.5088167,-0.95126843
10,1,-2.042935,2.7933748,-1.1552637
11,1,-1.6228423,2.4384813,-1.2856712
12,1,-1.9186307,2.7239592,-1.2404158
13,1,-2.8316205,2.519387,-0.047131576
14,1,-1.7197053,2.371945,-1.050145
15,1,-3.3275452,1.756549,1.1133761
16,1,-3.4292405,3.0301516,-0.12198807
17,1,-0.86066395,1.9311678,-1.7260518
18,1,-4.854447,2.0626798,2.1328723
19,1,-2.2560549,2.7642257,-1.0233644
20,2,-0.3917393,-8.680908,5.9664817
21,1,-3.0753033,3.0972435,-0.4460535
22,1,-1.2114639,3.1607451,-2.6811602
23,1,-2.318806,2.1010065,-0.10017224
24,1,-1.6191479,1.223176,0.06407894
25,2,2.430759,-1.6069217,-1.3893176
26,2,-0.3159679,1.2138826,-1.4728031
27,1,0.80148697,2.5224655,-4.4092546
28,2,-0.94337636,-4.2251434,3.39214
29,1,-0.22247885,2.65978,-3.285716
30,1,1.5122567,3.5104096,-6.477593
31,1,-1.8158103,2.9146807,-1.6231233
32,1,-2.5764315,3.744201,-1.6691179
33,1,-0.74667245,3.6697195,-3.930601
34,1,-1.3977792,1.6950021,-0.54308796
35,1,-2.4215586,2.0210085,0.09806886
36,1,-0.8737773,4.1833673,-4.3851995
37,1,-2.3523567,3.1899645,-1.4175898
38,1,-2.754598,2.8410096,-0.49905425
39,1,-1.4828713,1.8601143,-0.66189337
40,1,-0.14926358,5.4435325,-7.030764
41,2,-1.0696875,-2.6027458,2.4421022
42,1,-0.2816824,2.626916,-3.1155756
43,2,-2.1841865,-0.7982229,2.1496308
44,1,-1.4977225,1.6221308,-0.49392697
45,1,2.3802724,-0.7000324,-2.4758048
46,1,-2.1374311,1.9693894,-0.14389405
47,1,-1.73292,3.506788,-2.674169
48,1,-1.9500304,2.5634649,-1.0431817
49,2,-0.9872913,-5.005248,3.972288
50,1,-2.1454682,2.775482,-1.1034306
51,1,2.9620476,0.7313256,-4.8843913
52,1,5.047796,-0.9080312,-5.549887
53,1,-1.7715675,3.7145936,-2.7532759
54,1,-2.411516,1.3124282,0.75342065
55,2,9.338062,-9.948726,-1.7624271
56,1,-1.3804109,2.5786722,-1.7808928
57,1,0.19728345,3.8696096,-5.338331
58,1,-2.6865728,1.6272478,0.6331844
59,1,-3.1863742,3.0377178,-0.47063774
60,1,-1.9401327,3.4562347,-2.2450874
61,1,-2.165628,3.6764915,-2.292086
62,2,-0.34254208,-5.3703303,3.7453337
63,1,-1.5565907,3.3389742,-2.5194912
64,1,-1.96567,3.0214112,-1.64301
65,1,-2.2392247,2.417358,-0.53052485
66,1,-2.1774516,2.199463,-0.33703455
67,1,-3.2968757,2.2027636,0.6032835
68,1,-2.1721473,2.3308601,-0.4747786
69,1,-1.8015505,2.5404208,-1.2585198
70,1,-0.42395943,3.8929286,-4.5359683
71,1,-1.2205824,2.9742227,-2.5048668
72,1,-2.1182525,2.0510316,-0.2376133
73,1,-1.2015328,3.2048442,-2.8328588
74,2,-1.0761356,-1.4467702,1.6599387
75,1,-2.4654384,1.9151993,0.23152609
76,1,-1.6141272,3.2621605,-2.1938994
77,1,-1.5865971,1.7000897,-0.3670194
78,1,-1.0534605,2.5032303,-2.0166714
79,2,0.0735563,-4.02358,2.5468464
80,1,-0.33263513,2.4018717,-2.7453249
81,1,-2.3570285,2.7948377,-0.9843011
82,2,-2.5107167,0.71833897,1.2937891
83,1,-1.8659493,2.7196937,-1.3360958
84,1,0.6729913,2.2565758,-3.8372817
85,1,-1.9936109,2.9731417,-1.5140854
86,2,-0.98838466,-3.128443,2.678651
87,1,1.0334331,3.6085277,-6.1290517
88,1,-2.227112,3.2487185,-1.4834785
89,1,-2.0697212,2.1022298,-0.32169774
90,1,-0.69304204,3.0776372,-3.3369942
91,1,-2.2439814,2.282672,-0.4116881
92,1,-1.7448301,1.1563927,0.33931866
93,1,-1.7085514,2.4641407,-1.2239604
94,1,-2.591289,3.0658395,-0.9403103
95,1,-2.8340592,2.0214539,0.36828744
96,1,-0.081754066,5.3734384,-6.8488636
97,1,0.6875347,1.3263084,-2.8456671
98,2,-1.7649853,1.7698187,-0.3648502
99,1,-2.4312832,2.3127425,-0.24907564
100,1,0.12086695,5.109585,-6.887998
101,1,-0.85695744,3.2866697,-3.274547
102,1,-1.0146549,3.7763028,-3.6731503
103,1,6.5853357,-1.0578518,-7.3631043
104,2,-0.037222076,-5.6110425,3.5808957
105,1,-1.7804489,2.7427764,-1.4796182
106,1,-2.094874,3.350065,-2.0387044
107,2,-1.9526685,-2.3336847,2.9349825
108,1,-2.0994835,2.7568138,-1.157929
109,1,-2.6135137,3.025063,-0.89771295
110,1,-2.004864,2.2227926,-0.5528644
111,1,-0.43042338,3.3555439,-3.8860917
112,1,0.09404077,4.075324,-5.412659
113,1,-1.8085085,2.6618907,-1.3832011
114,1,0.20362058,2.4577365,-3.5042892
115,1,-2.7098804,3.2109792,-1.0211746
116,2,-1.6412487,-2.210701,2.6249495
117,1,-2.1022937,2.4838881,-0.79564047
118,1,-1.7367139,3.0166333,-1.8732378
119,1,-2.2534738,3.1791675,-1.5259913
120,1,-2.400715,2.9062214,-1.0214696
121,2,-1.2306345,-0.67832863,1.269778
122,1,-0.38339382,0.36809018,-0.44855198
123,1,-1.1590354,2.5100777,-1.9174302
124,2,-2.0202835,-2.6478174,3.2631683
125,1,-1.4030507,2.9095852,-2.1074684
126,2,-2.0922177,-4.7027044,4.598526
127,2,-2.151267,-2.4579654,3.179924
128,1,-0.86250937,3.938289,-4.1237273
129,1,-2.1934254,2.0010803,-0.08682883
130,2,-2.5048437,1.6781055,0.51276606
131,1,-1.9902881,2.116852,-0.50123477
132,2,-2.921775,-1.6315918,3.2199068
133,1,-1.5285989,2.8675876,-1.9429481
134,2,-0.9112932,-3.704494,3.0029476
135,1,-1.6254294,0.678165,0.657564
136,1,-2.2378373,3.3123267,-1.7304442
137,1,-1.8818288,2.9022913,-1.6142138
138,1,-2.4854112,2.2886937,-0.103208095
139,1,-1.4510468,1.9758123,-0.84267294
140,1,-1.8591115,3.1450727,-1.9297302
141,1,2.286047,-1.2145051,-1.706848
142,1,-1.2109408,3.5661356,-3.2329288
143,2,-0.75445145,-0.3284656,0.55581695
144,1,-3.1202433,2.1052692,0.6533898
145,2,-1.416399,-1.5220013,2.019151
146,1,-0.1318498,2.7481358,-3.5931053
147,1,1.1906406,-0.33891007,-1.3825257
148,2,-2.305726,2.2599857,-0.2815902
149,1,1.0466864,0.6524979,-2.4542801
150,1,-1.6989148,3.2274296,-2.1272416
151,1,-0.8762476,4.1677723,-4.380963
152,1,-0.47963104,3.8399966,-4.4750953
153,1,-2.7434168,2.7519789,-0.3856896
154,1,5.7423487,-1.1262743,-6.1732235
155,1,-2.2846003,1.5828755,0.38567615
156,1,-1.6523055,2.3281515,-1.1265333
157,2,-1.0441029,-1.0324287,1.4013946
158,1,-2.3296123,2.569127,-0.6100092
159,1,-2.4187572,3.3022487,-1.5237993
160,1,-1.8655216,1.9553937,-0.41619197
161,1,-1.9072092,4.0283394,-3.0106
162,1,-0.60422736,2.3321922,-2.2949407
163,1,-1.5623204,2.7825446,-1.7975934
164,1,-0.4407956,3.4555674,-4.009652
165,1,-1.7870609,1.158702,0.35899255
166,1,1.2019061,0.8175939,-2.8077433
167,1,-1.4562362,2.848334,-1.9316144
168,1,-2.1441023,2.2018273,-0.37652427
169,1,2.9849148,-1.888142,-1.7939248
170,2,-1.9726214,1.5338106,0.1662904
171,1,-1.8335985,3.4928908,-2.406811
172,1,-1.7266204,0.71763575,0.756505
173,2,-2.238725,0.6682155,1.1976333
174,2,-0.4059553,-7.5542197,5.227613
175,1,-1.8211675,2.370986,-0.9445249
176,1,-0.4606597,4.3227577,-5.1384363
177,1,-2.8163254,2.7565532,-0.30148363
178,1,-1.1050504,1.765626,-1.0935498
179,1,-0.18839903,1.1446995,-1.4987811
180,2,-0.26464793,-6.082526,4.151617
