,y_true,y_pred_neg,y_pred_hyp,y_pred_hol
0,1,-0.09016836,4.0453954,-2.9295459
1,1,-0.87080514,1.7838967,-0.3313184
2,1,0.6295192,7.6658635,-6.021618
3,2,0.7085144,-2.6503582,2.587814
4,1,-1.737188,3.4076693,-0.6799619
5,1,-1.835113,3.192096,-0.35262358
6,1,0.6398565,4.8597894,-4.0286393
7,1,-2.2753735,3.1559074,0.024861697
8,2,-2.1215577,1.877048,0.98847157
9,1,-0.9436189,2.6967924,-1.0764595
10,1,-1.0696182,3.4370286,-1.2258501
11,1,-0.82665086,2.4346106,-1.0131083
12,1,-1.3806009,2.7532234,-0.5362221
13,1,-2.1115513,2.7441595,0.2949955
14,1,-0.83645344,2.304609,-0.88553846
15,1,-2.0383527,2.021935,0.8061426
16,1,-3.6491923,3.9809375,1.0075488
17,1,-0.03073661,0.019148044,0.5905088
18,1,-2.9710934,1.5043732,2.5764215
19,1,-1.6989368,2.349238,-0.013661796
20,2,0.06583136,-5.275133,7.765131
21,1,-1.7697865,3.0177975,-0.38647243
22,1,-0.020014193,3.7273457,-2.3937953
23,1,-0.8290891,2.5014577,-0.9252482
24,1,4.6359115,-2.9607782,-2.2634163
25,2,0.066313125,0.038616337,0.04095816
26,2,-0.81120616,0.09421047,1.2056333
27,1,1.4745768,2.4997454,-2.94707
28,2,-0.5030419,-2.201646,4.162006
29,1,0.47424307,2.384475,-2.2328978
30,1,1.5669603,3.2184463,-3.666185
31,1,-0.6663036,3.3029997,-1.7600961
32,1,-2.2757325,3.4381187,-0.49712402
33,1,0.08081815,4.43528,-3.3753946
34,1,0.7585624,0.36496285,-0.7105935
35,1,-1.7094545,2.1714559,0.20153792
36,1,0.25807688,4.430264,-3.5823216
37,1,-1.7912093,3.739655,-0.8640441
38,1,-2.167671,2.7780015,0.36410087
39,1,1.2090636,0.13657773,-1.226871
40,1,0.20304804,6.259317,-4.698773
41,2,-0.7773486,-1.7386564,3.7583263
42,1,0.810334,3.0321348,-2.8977654
43,2,-1.6625925,2.1523335,0.04858876
44,1,-0.6548907,1.3359927,-0.08350543
45,1,5.335233,-2.8023753,-3.1696484
46,1,-1.0890384,1.853332,-0.20993443
47,1,-1.0914794,3.6269438,-1.5905517
48,1,-0.57857347,2.8815017,-1.4621974
49,2,-0.51940775,-1.4644837,3.075504
50,1,-1.557509,3.3385835,-0.78975844
51,1,4.0338955,0.6209022,-3.9283774
52,1,1.451521,2.1431727,-2.8943334
53,1,-1.2452388,4.3228083,-1.9050947
54,1,-0.8029332,0.72581166,0.41825745
55,2,10.190432,-10.416691,-1.5333322
56,1,-0.12616087,2.4565802,-1.6920274
57,1,0.8559189,4.00359,-3.533024
58,1,-1.3618658,1.7081221,0.4649511
59,1,-2.7140727,2.7423408,0.9672534
60,1,-1.4829308,3.489844,-1.0636026
61,1,-0.9306741,3.5532742,-1.6373457
62,2,-0.8940085,-1.8618425,4.1708765
63,1,-0.94579446,4.1690683,-2.2006943
64,1,-1.658803,3.02307,-0.5607606
65,1,-1.3618115,2.2276616,-0.22898939
66,1,-1.2102561,1.9834658,-0.1323458
67,1,-2.4388535,3.0933783,0.28554693
68,1,-1.1049484,2.0847874,-0.38837385
69,1,-1.8908651,3.2833571,-0.21014112
70,1,0.49721664,3.282128,-2.7758007
71,1,-0.10527573,3.276288,-2.2684274
72,1,-1.4644041,2.4286323,-0.24106842
